Id,SalePrice
1461,128691.66
1462,183391.86
1463,187666.84
1464,195892.22
1465,195103.14
1466,179201.33
1467,167734.36
1468,167330.14
1469,196385.08
1470,143415.44
1471,209007.95
1472,116815.52
1473,119178.43
1474,153529.52
1475,146658.86
1476,377941.28
1477,270594.16
1478,280671.22
1479,269536.8
1480,431179.4
1481,320280.25
1482,230853.7
1483,171559.31
1484,178298.17
1485,181626.89
1486,195778.14
1487,360816.5
1488,242598.4
1489,215393.77
1490,215210.92
1491,193171.47
1492,103299.94
1493,191937.95
1494,271623.0
1495,278312.5
1496,246653.2
1497,187908.48
1498,168078.17
1499,166107.45
1500,152306.47
1501,175765.31
1502,155818.55
1503,301473.12
1504,237713.02
1505,232205.0
1506,211906.36
1507,238336.23
1508,207227.23
1509,175602.1
1510,152262.7
1511,148479.88
1512,178691.88
1513,148728.02
1514,191067.58
1515,202313.12
1516,149203.66
1517,175239.14
1518,147671.81
1519,233255.84
1520,152642.23
1521,147556.48
1522,164074.86
1523,128365.1
1524,144972.9
1525,137704.44
1526,146109.7
1527,119872.91
1528,145924.23
1529,159496.02
1530,178580.84
1531,89974.8
1532,108630.95
1533,163047.6
1534,145467.64
1535,162516.27
1536,126413.49
1537,77235.914
1538,204771.14
1539,213269.4
1540,103073.91
1541,158673.73
1542,143239.67
1543,248968.89
1544,91164.445
1545,135424.19
1546,133891.03
1547,132399.69
1548,161775.83
1549,138973.33
1550,153313.75
1551,117485.35
1552,142471.92
1553,172638.38
1554,131313.45
1555,156783.62
1556,100706.82
1557,124352.84
1558,121598.67
1559,113389.47
1560,131837.67
1561,162979.55
1562,143914.6
1563,138979.61
1564,171298.4
1565,146808.1
1566,225977.34
1567,75481.55
1568,225266.53
1569,148100.31
1570,141469.72
1571,133422.95
1572,165214.83
1573,263399.0
1574,129602.5
1575,229218.84
1576,220282.42
1577,208409.06
1578,156170.38
1579,153749.31
1580,200906.58
1581,177694.89
1582,142259.81
1583,315126.03
1584,233850.75
1585,149685.62
1586,81331.96
1587,125816.92
1588,172225.73
1589,109695.45
1590,151678.25
1591,112177.69
1592,133648.34
1593,139287.66
1594,153935.03
1595,115071.87
1596,256361.66
1597,215762.98
1598,205371.62
1599,196222.12
1600,188570.27
1601,101163.44
1602,136849.17
1603,80364.22
1604,259770.9
1605,214872.84
1606,171858.69
1607,210722.62
1608,205077.31
1609,204702.23
1610,163158.73
1611,144088.45
1612,170665.38
1613,160810.98
1614,140016.94
1615,116129.836
1616,89251.22
1617,111774.82
1618,148066.66
1619,155457.38
1620,185177.94
1621,138088.5
1622,168015.03
1623,300870.3
1624,216372.89
1625,150307.39
1626,160094.05
1627,186298.2
1628,270858.88
1629,191720.8
1630,395869.06
1631,244368.27
1632,261594.0
1633,178509.39
1634,188091.72
1635,181903.69
1636,160288.36
1637,180472.84
1638,198994.22
1639,182329.61
1640,264492.2
1641,178509.28
1642,230318.23
1643,215278.9
1644,229858.22
1645,202255.2
1646,163448.64
1647,167250.66
1648,143423.55
1649,156800.02
1650,133905.05
1651,136646.88
1652,109860.67
1653,116017.945
1654,160916.88
1655,159629.05
1656,149428.22
1657,153377.19
1658,150911.38
1659,153276.66
1660,158189.25
1661,372997.16
1662,382867.84
1663,379499.28
1664,244409.84
1665,318600.16
1666,307304.7
1667,344349.66
1668,326808.25
1669,301436.38
1670,375427.34
1671,263364.06
1672,451566.03
1673,285996.75
1674,250159.1
1675,193042.77
1676,190440.17
1677,225163.45
1678,445624.34
1679,360332.22
1680,367007.84
1681,281339.38
1682,287116.56
1683,183649.03
1684,162643.52
1685,174833.6
1686,175013.81
1687,171754.64
1688,186571.67
1689,192657.94
1690,191153.4
1691,180468.98
1692,255319.02
1693,167310.12
1694,185113.08
1695,174859.34
1696,264557.62
1697,184293.84
1698,333479.56
1699,319516.78
1700,256179.1
1701,266624.25
1702,263078.78
1703,245900.16
1704,294904.88
1705,240943.06
1706,375866.97
1707,216846.47
1708,223264.95
1709,318541.44
1710,232416.89
1711,232182.31
1712,246747.69
1713,260922.03
1714,230963.08
1715,212850.67
1716,194369.36
1717,186326.58
1718,156333.12
1719,200455.42
1720,250288.27
1721,179475.03
1722,146392.47
1723,156518.78
1724,226515.89
1725,251522.52
1726,192742.48
1727,159320.55
1728,155751.73
1729,176792.7
1730,174295.83
1731,132436.7
1732,144742.45
1733,135595.73
1734,142822.61
1735,131271.02
1736,124767.53
1737,341782.34
1738,216153.3
